BLE_fischart;species_code;german_name;species_name;species_namesc;target_assemblage_code;grouped_species;target_assemblage
AEC;AEC;NA;Astronesthes cyclophotus;Astronesthes cyclophotus;DEF;not defined;Demersal fish
DOG;DOG;NA;Bean donax;Donax gouldii;MOL;not defined;Molluscs
REC;REC;NA;Cape redfish;Sebastes capensis;DEF;not defined;Demersal fish
BZD;BZD;NA;Blackbar hogfish;Bodianus speciosus;DEF;not defined;Demersal fish
KAW;KAW;NA;Kawakawa;Euthynnus affinis;LPF;not defined;Large pelagic fish
FOT;FOT;NA;Fourfinger threadfin;Eleutheronema tetradactylum;DEF;not defined;Demersal fish
MMA;MMA;NA;Monopenchelys acuta;Monopenchelys acuta;DEF;not defined;Demersal fish
SWQ;SWQ;NA;Red delesseria;Delesseria sanguinea;ALG;not defined;Algae
CBG;CBG;NA;Driftfish;Cubiceps gracilis;DEF;not defined;Demersal fish
KIT;KIT;NA;Psammechinus miliaris;Psammechinus miliaris;OTH;not defined;Other
TQS;TQS;NA;Cross tellin;Tellina staurella;MOL;not defined;Molluscs
PRR;PRR;NA;Parrotfish;Sparisoma cretense;DEF;not defined;Demersal fish
ECE;ECE;NA;Cheilopogon heterurus;Cheilopogon heterurus;DEF;not defined;Demersal fish
YFS;YFS;NA;Duskycheek tonguefish;Symphurus plagusia;DEF;not defined;Demersal fish
ZGC;ZGC;NA;Mediterranean sand eel;Gymnammodytes cicerelus;DEF;not defined;Demersal fish
CAR;CAR;NA;Cartilaginous fishes nei;Chondrichthyes;DEF;not defined;Demersal fish
DES;DES;NA;Deep-sea smelt;Glossanodon semifasciatus;DEF;not defined;Demersal fish
FLY;FLY;NA;Flyingfishes nei;Exocoetidae;DEF;not defined;Demersal fish
CDX;CDX;NA;Croakers, drums nei;Sciaenidae;DEF;not defined;Demersal fish
NLT;NLT;NA;Black snake mackerel;Nealotus tripes;DEF;not defined;Demersal fish
SIO;SIO;NA;Chirostomias pliopterus;Chirostomias pliopterus;DEF;not defined;Demersal fish
TEX;TEX;NA;Stout tagelus;Tagelus plebeius;DEF;not defined;Demersal fish
TGV;TGV;NA;Smalleye squaretail;Tetragonurus cuvieri;DEF;not defined;Demersal fish
ANZ;ANZ;NA;Aulotrachichthys novaezelandicus;Aulotrachichthys novaezelandicus;DEF;not defined;Demersal fish
MLV;MLV;NA;Bighead mora;Microlepidium verecundum;DEF;not defined;Demersal fish
SAP;SAP;NA;Pacific saury;Cololabis saira;SPF;not defined;Small pelagic fish
ERV;ERV;NA;Ribbon halfbeak;Euleptorhamphus viridis;DEF;not defined;Demersal fish
HAX;HAX;NA;Hemiramphus spp;Hemiramphus spp;DEF;not defined;Demersal fish
HFJ;HFJ;NA;Ahnfeltia fastigiata;Ahnfeltia fastigiata;ALG;not defined;Algae
HSS;HSS;NA;Yellow chromis;Chromis analis;DEF;not defined;Demersal fish
ZGS;ZGS;NA;Smooth sandeel;Gymnammodytes semisquamatus;DEF;Sandeels;Demersal fish
ALA;ALA;NA;Alexandria pompano;Alectis alexandrinus;DEF;not defined;Demersal fish
KJC;KJC;NA;Girdle anemone;Actinia cari;OTH;not defined;Other
BTL;BTL;NA;Barathronus maculatus;Barathronus maculatus;DEF;not defined;Demersal fish
DNK;DNK;NA;Dunker's dosinia;Dosinia dunkeri;DEF;not defined;Demersal fish
PII;PII;NA;Striped eel catfish;Plotosus lineatus;DEF;not defined;Demersal fish
PEI;PEI;NA;Perinereis spp;Perinereis spp;DEF;not defined;Demersal fish
TRZ;TRZ;NA;White trevally;Pseudocaranx dentex;DEF;not defined;Demersal fish
CFH;CFH;NA;Yellowfin hind;Cephalopholis hemistiktos;DEF;not defined;Demersal fish
GAL;GAL;NA;Lesser African threadfin;Galeoides decadactylus;DEF;not defined;Demersal fish
BUX;BUX;NA;Butterfishes, pomfrets nei;Stromateidae;DEF;non-target demersal fish;Demersal fish
HKM;HKM;NA;Senegalese hake;Merluccius senegalensis;DEF;not defined;Demersal fish
YGC;YGC;NA;Stripped weakfish;Cynoscion guatucupa;DEF;not defined;Demersal fish
BOA;BOA;NA;Bonga shad;Ethmalosa fimbriata;DEF;not defined;Demersal fish
BYS;BYS;NA;Splendid alfonsino;Beryx splendens;DEF;not defined;Demersal fish
CYG;CYG;NA;Granular dogfish;Centroscyllium granulatum;DEF;not defined;Demersal fish
EYO;EYO;NA;Atlantic rubyfish;Erythrocles monodi;DEF;not defined;Demersal fish
GTF;GTF;NA;Guitarfishes, etc. nei;Rhinobatidae;DEF;not defined;Demersal fish
LTN;LTN;NA;Atlantic emperor;Lethrinus atlanticus;DEF;not defined;Demersal fish
NTO;NTO;NA;Antarctic jonasfish;Notolepis coatsi;DEF;not defined;Demersal fish
PUA;PUA;NA;Atlantic puffers nei;Sphoeroides spp;DEF;not defined;Demersal fish
SNW;SNW;NA;White steenbras;Lithognathus lithognathus;DEF;not defined;Demersal fish
TIS;TIS;NA;Tilefishes nei;Branchiostegidae;DEF;not defined;Demersal fish
DPD;DPD;NA;Dolopichthys danae;Dolopichthys danae;DEF;not defined;Demersal fish
KCP;KCP;NA;Kingklip;Genypterus capensis;DEF;not defined;Demersal fish
HKN;HKN;NA;Southern hake;Merluccius australis;DEF;not defined;Demersal fish
HKB;HKB;NA;Benguela hake;Merluccius polli;DEF;not defined;Demersal fish
HKO;HKO;NA;Deep-water Cape hake;Merluccius paradoxus;DEF;not defined;Demersal fish
MVO;MVO;NA;Devil anglerfish;Lophius vomerinus;DEF;not defined;Demersal fish
AUU;AUU;NA;Canary damsel;Abudefduf luridus;DEF;not defined;Demersal fish
BDR;BDR;NA;Spanish hogfish;Bodianus rufus;DEF;not defined;Demersal fish
LPZ;LPZ;NA;Limpets nei;Patella spp;DEF;not defined;Demersal fish
LQY;LQY;NA;Rough limpet;Patella ulyssiponensis;DEF;not defined;Demersal fish
PRC;PRC;NA;Percoids nei;Percoidei;DEF;not defined;Demersal fish
FFX;FFX;NA;Filefishes, leatherjackets nei;Monacanthidae;DEF;not defined;Demersal fish
HTU;HTU;NA;Glasseye;Heteropriacanthus cruentatus;DEF;not defined;Demersal fish
RLF;RLF;NA;Lesser amberjack;Seriola fasciata;DEF;not defined;Demersal fish
SAB;SAB;NA;Sablefish;Anoplopoma fimbria;DEF;not defined;Demersal fish
HFT;HFT;NA;Cotton spinner;Holothuria tubulosa;OTH;not defined;Other
RLR;RLR;NA;Guinean amberjack;Seriola carpenteri;DEF;not defined;Demersal fish
SKT;SKT;NA;Starksia atlantica;Starksia atlantica;DEF;not defined;Demersal fish
YTL;YTL;NA;Longfin yellowtail;Seriola rivoliana;DEF;not defined;Demersal fish
DOP;DOP;NA;Shortnose spurdog;Squalus megalops;DEF;not defined;Demersal fish
PON;PON;NA;Ponyfishes(=Slipmouths) nei;Leiognathidae;DEF;not defined;Demersal fish
PRP;PRP;NA;Roudi escolar;Promethichthys prometheus;DEF;not defined;Demersal fish
PXV;PXV;NA;Stout beardfish;Polymixia nobilis;DEF;not defined;Demersal fish
ULF;ULF;NA;Royal flagfin;Aulopus filamentosus;DEF;not defined;Demersal fish
YTC;YTC;NA;Yellowtail amberjack;Seriola lalandi;DEF;not defined;Demersal fish
AMX;AMX;NA;Amberjacks nei;Seriola spp;DEF;not defined;Demersal fish
BQX;BQX;NA;Butterfishes nei;Stromateus spp;DEF;not defined;Demersal fish
SVH;SVH;NA;Savalai hairtail;Lepturacanthus savala;DEF;not defined;Demersal fish
GES;GES;NA;Snake mackerel;Gempylus serpens;DEF;not defined;Demersal fish
LAG;LAG;NA;Opah;Lampris guttatus;DEF;not defined;Demersal fish
BUK;BUK;NA;Butterfly kingfish;Gasterochisma melampus;DEF;not defined;Demersal fish
CHW;CHW;NA;Chionobathyscus dewitti;Chionobathyscus dewitti;DEF;not defined;Demersal fish
LIX;LIX;NA;Lizardfishes nei;Synodontidae;DEF;not defined;Demersal fish
NED;NED;NA;Needlefishes nei;Tylosurus spp;DEF;not defined;Demersal fish
SDH;SDH;NA;Rough longnose dogfish;Deania hystricosa;DEF;not defined;Demersal fish
SDR;SDR;NA;Atlantic lizardfish;Synodus saurus;DEF;not defined;Demersal fish
SSK;SSK;NA;Kaup's arrowtooth eel;Synaphobranchus kaupii;DEF;not defined;Demersal fish
TAL;TAL;NA;Big-scale pomfret;Taractichthys longipinnis;DEF;non-target demersal fish;Demersal fish
THF;THF;NA;Threadfins, tasselfishes nei;Polynemidae;DEF;not defined;Demersal fish
BKJ;BKJ;NA;Black skipjack;Euthynnus lineatus;DEF;not defined;Demersal fish
PVS;PVS;NA;Shoulderblade coral;Pavona clavus;OTH;not defined;Other
VAA;VAA;NA;Valenciennea alleni;Valenciennea alleni;DEF;not defined;Demersal fish
CJC;CJC;NA;Blue and gold fusilier;Caesio caerulaurea;DEF;not defined;Demersal fish
GKA;GKA;NA;Leather gracilaria;Gracilaria dura;DEF;not defined;Demersal fish
GKE;GKE;NA;Snakeskin tegula;Tegula pellisserpentis;GAS;not defined;Gastropods
GKX;GKX;NA;Galatea spp;Galatea spp;MOL;not defined;Molluscs
LHD;LHD;NA;Stone weed;Lithophyllum lichenoides;ALG;not defined;Algae
PAS;PAS;NA;Pacific sandlance;Ammodytes personatus;DEF;not defined;Demersal fish
SBJ;SBJ;NA;Barbfish;Scorpaena brasiliensis;DEF;not defined;Demersal fish
TIN;TIN;NA;Stichaeopsis nana;Stichaeopsis nana;DEF;not defined;Demersal fish
CYL;CYL;NA;Hydrolagus alberti;Hydrolagus alberti;DEF;not defined;Demersal fish
GLR;GLR;NA;Connemarra clingfish;Lepadogaster candollei;DEF;not defined;Demersal fish
INU;INU;NA;Inimicus cuvieri;Inimicus cuvieri;DEF;not defined;Demersal fish
MHY;MHY;NA;Mystriophis porphyreus;Mystriophis porphyreus;DEF;not defined;Demersal fish
PIN;PIN;NA;Pink(=Humpback) salmon;Oncorhynchus gorbuscha;ANA;not defined;Anadromous species
COR;COR;NA;Precious corals nei;Corallium spp;DEF;not defined;Demersal fish
ELS;ELS;NA;Whitespotted conger;Conger myriaster;DEF;not defined;Demersal fish
OLG;OLG;NA;Shortjaw leatherjacket;Oligoplites refulgens;DEF;not defined;Demersal fish
SLI;SLI;NA;Spanish ling;Molva macrophthalma;DEF;not defined;Demersal fish
BUS;BUS;NA;Butterflyfishes;Chaetodontidae;DEF;not defined;Demersal fish
CRF;CRF;NA;Blue trevally;Carangoides ferdau;DEF;not defined;Demersal fish
MBG;MBG;NA;Bald glassy;Ambassis gymnocephalus;DEF;not defined;Demersal fish
OVX;OVX;NA;Macoma spp;Macoma spp;MOL;not defined;Molluscs
VNU;VNU;NA;Venus nux;Venus nux;DEF;not defined;Demersal fish
BDL;BDL;NA;Elongate frostfish;Benthodesmus elongatus;DEF;not defined;Demersal fish
HKC;HKC;NA;Cape hakes;Merluccius capensis, M.paradoxus;DEF;not defined;Demersal fish
SNI;SNI;NA;Snipefishes nei;Macroramphosidae;DEF;not defined;Demersal fish
TDF;TDF;NA;Toadfishes nei;Batrachoides spp;DEF;not defined;Demersal fish
TGE;TGE;NA;Beaugregory;Stegastes leucostictus;DEF;not defined;Demersal fish
TGZ;TGZ;NA;Dombey's tagelus;Tagelus dombeii;DEF;not defined;Demersal fish
DHO;DHO;NA;Longspined porcupinefish;Diodon holocanthus;DEF;not defined;Demersal fish
FFV;FFV;NA;Fourwing flyingfish;Hirundichthys affinis;DEF;not defined;Demersal fish
GEZ;GEZ;NA;Guinean striped mojarra;Gerres nigri;DEF;not defined;Demersal fish
HVQ;HVQ;NA;Heterocarpus grimaldii;Heterocarpus grimaldii;DEF;not defined;Demersal fish
MFF;MFF;NA;Flagfin mojarra;Eucinostomus melanopterus;DEF;not defined;Demersal fish
TJX;TJX;NA;Atlantic thornyhead;Trachyscorpia cristulata;DEF;not defined;Demersal fish
SPZ;SPZ;NA;Smooth hammerhead;Sphyrna zygaena;DEF;not defined;Demersal fish
YNR;YNR;NA;Sand weakfish;Cynoscion arenarius;DEF;not defined;Demersal fish
CDE;CDE;NA;Midway deep-sea coral;Corallium sp. nov.;OTH;not defined;Other
FIX;FIX;NA;Flabellum cup corals nei;Flabellum spp;DEF;not defined;Demersal fish
HSB;HSB;NA;Striped blenny;Chasmodes bosquianus;DEF;not defined;Demersal fish
BYD;BYD;NA;Bathyraja diplotaenia;Bathyraja diplotaenia;DEF;not defined;Demersal fish
LIF;LIF;NA;Liparis fabricii;Liparis fabricii;DEF;not defined;Demersal fish
MCZ;MCZ;NA;Bentnose macoma;Macoma nasuta;MOL;not defined;Molluscs
OLI;OLI;NA;Leatherjacket;Oligoplites saurus;DEF;not defined;Demersal fish
GPP;GPP;NA;Leucopsarion petersi;Leucopsarion petersi;DEF;not defined;Demersal fish
SWG;SWG;NA;Green seaweeds;Chlorophyceae;ALG;not defined;Algae
BWA;BWA;NA;Bluenose warehou;Hyperoglyphe antarctica;DEF;not defined;Demersal fish
SWU;SWU;NA;Sculpins nei;Cottidae;DEF;non-target demersal fish;Demersal fish
CLS;CLS;NA;Sand gaper;Mya arenaria;MOL;not defined;Molluscs
OSB;OSB;NA;Aporops bilinearis;Aporops bilinearis;DEF;not defined;Demersal fish
SRZ;SRZ;NA;Radiate semele;Semele radiata;MOL;not defined;Molluscs
CBS;CBS;NA;Maputo conger;Bathymyrus smithi;DEF;not defined;Demersal fish
VSP;VSP;NA;Spiny vase;Vasum capitellum;GAS;not defined;Gastropods
AND;AND;NA;Agujon needlefish;Tylosurus acus;DEF;not defined;Demersal fish
BOB;BOB;NA;Atlantic seabob;Xiphopenaeus kroyeri;DEF;not defined;Demersal fish
VSE;VSE;NA;Ceram vase;Vasum ceramicum;GAS;not defined;Gastropods
GLT;GLT;NA;Golden trevally;Gnathanodon speciosus;DEF;not defined;Demersal fish
YEZ;YEZ;NA;Great sandeel;Hyperoplus lanceolatus;DEF;Sandeels;Demersal fish
ALT;ALT;NA;Leatherjacket filefishes;Aluterus spp;DEF;not defined;Demersal fish
AHH;AHH;NA;Mediterranean sand smelt;Atherina hepsetus;DEF;not defined;Demersal fish
AMM;AMM;NA;Spaghetti eel;Moringua edwardsi;DEF;not defined;Demersal fish
CUV;CUV;NA;Saposhnikovi shad;Alosa saposhnikovi;ANA;not defined;Anadromous species
RBS;RBS;NA;Grayspottted guitarfish;Rhinobatos leucospilus;DEF;not defined;Demersal fish
MNR;MNR;NA;Inland silverside;Menidia beryllina;ANA;not defined;Anadromous species
MVU;MVU;NA;Sand violet;Microcosmus vulgaris;OTH;not defined;Other
PCA;PCA;NA;Ayu sweetfish;Plecoglossus altivelis;DEF;not defined;Demersal fish
SFC;SFC;NA;Salmo carpio;Salmo carpio;FWS;not defined;Freshwater species
SIG;SIG;NA;Luminous hake;Steindachneria argentea;DEF;not defined;Demersal fish
AUX;AUX;NA;Giant catfish;Arius thalassinus;DEF;not defined;Demersal fish
DDZ;DDZ;NA;Zebra turkeyfish;Dendrochirus zebra;DEF;not defined;Demersal fish
DPI;DPI;NA;Diaphus mollis;Diaphus mollis;DEF;not defined;Demersal fish
GBW;GBW;NA;Divaricate gibbula;Gibbula divaricata;GAS;not defined;Gastropods
GEN;GEN;NA;Yellow fin mojarra;Gerres cinereus;DEF;not defined;Demersal fish
MCT;MCT;NA;Mahia whiptail;Coelorinchus matamua;DEF;not defined;Demersal fish
AHK;AHK;NA;Alert pigfish;Alertichthys blacki;DEF;not defined;Demersal fish
BBG;BBG;NA;Bathylagus gracilis;Bathylagus gracilis;DEF;not defined;Demersal fish
BES;BES;NA;Belone spp;Belone spp;SPF;not defined;Small pelagic fish
LDU;LDU;NA;Lampadena urophaos;Lampadena urophaos;DEF;not defined;Demersal fish
MZL;MZL;NA;Mazzaella laminarioides;Mazzaella laminarioides;ALG;not defined;Algae
NMZ;NMZ;NA;Nematogobius brachynemus;Nematogobius brachynemus;DEF;not defined;Demersal fish
OBN;OBN;NA;Peppery furrow;Scrobicularia plana;MOL;not defined;Molluscs
SMQ;SMQ;NA;Cabezon;Scorpaenichthys marmoratus;DEF;not defined;Demersal fish
ORV;ORV;NA;Northern wobbegong;Orectolobus wardi;DEF;not defined;Demersal fish
AKN;AKN;NA;Akarotaxis nudiceps;Akarotaxis nudiceps;DEF;not defined;Demersal fish
AWI;AWI;NA;Orange filefish;Aluterus schoepfii;DEF;not defined;Demersal fish
SIZ;SIZ;NA;Spirulina nei;Spirulina spp;DEF;not defined;Demersal fish
SSO;SSO;NA;Smooth oreo dory;Pseudocyttus maculatus;DEF;not defined;Demersal fish
BPG;BPG;NA;Abyssal spiderfish;Bathypterois longipes;DEF;not defined;Demersal fish
WPM;WPM;NA;Pacific harvestfish;Peprilus medius;DEF;not defined;Demersal fish
INV;INV;NA;Aquatic invertebrates nei;Invertebrata;OTH;not defined;Other
LKE;LKE;NA;Liachirus melanospilus;Liachirus melanospilus;DEF;not defined;Demersal fish
BVN;BVN;NA;New Granada sea catfish;Ariopsis bonillai;DEF;not defined;Demersal fish
CFI;CFI;NA;Coral hind;Cephalopholis miniata;DEF;not defined;Demersal fish
CFJ;CFJ;NA;Coney;Cephalopholis fulva;DEF;not defined;Demersal fish
BLH;BLH;NA;Northern smoothtounge;Leuroglossus schmidti;DEF;not defined;Demersal fish
LLA;LLA;NA;Dwarf pencilfish;Lepidogalaxias salamandroides;DEF;not defined;Demersal fish
SGD;SGD;NA;Solegnathus dunckeri;Solegnathus dunckeri;DEF;not defined;Demersal fish
UMU;UMU;NA;Concave baby's ear;Sinum concavum;GAS;not defined;Gastropods
ELA;ELA;NA;American eel;Anguilla rostrata;ANA;not defined;Anadromous species
MAG;MAG;NA;Smooth mactra;Mactra glabrata;MOL;not defined;Molluscs
CPO;CPO;NA;Chinese silver pomfret;Pampus chinensis;DEF;non-target demersal fish;Demersal fish
SFR;SFR;NA;Nilsson's pipefish;Syngnathus rostellatus;DEF;not defined;Demersal fish
CXY;CXY;NA;Volutes nei;Cymbium spp;GAS;not defined;Gastropods
DEA;DEA;NA;Angolan dentex;Dentex angolensis;DEF;not defined;Demersal fish
HKK;HKK;NA;Shallow-water Cape hake;Merluccius capensis;DEF;not defined;Demersal fish
JSI;JSI;NA;Brown-lined latirus;Latirus infundibulum;DEF;not defined;Demersal fish
SOT;SOT;NA;Spottail spiny turbot;Psettodes belcheri;DEF;not defined;Demersal fish
FIK;FIK;NA;Planehead filefish;Stephanolepis hispidus;DEF;not defined;Demersal fish
RPB;RPB;NA;Doublebar goatfish;Parupeneus trifasciatus;DEF;not defined;Demersal fish
MRF;MRF;NA;Foureye rockskipper;Dialommus macrocephalus;DEF;not defined;Demersal fish
CUP;CUP;NA;Cubiceps spp;Cubiceps spp;DEF;not defined;Demersal fish
DPE;DPE;NA;Diaphus effulgens;Diaphus effulgens;DEF;not defined;Demersal fish
MNH;MNH;NA;Myersina lachneri;Myersina lachneri;DEF;not defined;Demersal fish
RNJ;RNJ;NA;Blackbanded trevally;Seriolina nigrofasciata;DEF;not defined;Demersal fish
CZT;CZT;NA;Ocean triggerfish;Canthidermis sufflamen;DEF;not defined;Demersal fish
LOO;LOO;NA;Smalltooth sand tiger;Odontaspis ferox;DEF;not defined;Demersal fish
LVM;LVM;NA;Luvar;Luvarus imperialis;DEF;not defined;Demersal fish
WPT;WPT;NA;Patella tenuis;Patella tenuis;GAS;not defined;Gastropods
BSD;BSD;NA;Spaniblennius riodourensis;Spaniblennius riodourensis;DEF;not defined;Demersal fish
MKZ;MKZ;NA;White sand macoma;Macoma secta;MOL;not defined;Molluscs
CNS;CNS;NA;Bloch's gizzard shad;Nematalosa nasus;ANA;not defined;Anadromous species
TOL;TOL;NA;Toli shad;Tenualosa toli;ANA;not defined;Anadromous species
FBM;FBM;NA;Freshwater bream;Abramis brama;FWS;not defined;Freshwater species
ASU;ASU;NA;Asp;Aspius aspius;FWS;not defined;Freshwater species
FCG;FCG;NA;Grass carp(=White amur);Ctenopharyngodon idellus;FWS;not defined;Freshwater species
SOM;SOM;NA;Wels(=Som) catfish;Silurus glanis;DEF;not defined;Demersal fish
ACC;ACC;NA;Ruffe;Gymnocephalus cernuus;FWS;not defined;Freshwater species
FSC;FSC;NA;Sichel;Pelecus cultratus;FWS;not defined;Freshwater species
SVC;SVC;NA;Silver carp;Hypophthalmichthys molitrix;FWS;not defined;Freshwater species
RKQ;RKQ;NA;Noah's ark;Arca noae;MOL;not defined;Molluscs
CGO;CGO;NA;Goldfish;Carassius auratus;FWS;not defined;Freshwater species
SRE;SRE;NA;Rudd;Scardinius erythrophthalmus;FWS;not defined;Freshwater species
GTA;GTA;NA;Three-spined stickleback;Gasterosteus aculeatus;DEF;not defined;Demersal fish
ALR;ALR;NA;Bleak;Alburnus alburnus;FWS;not defined;Freshwater species
LUH;LUH;NA;Chub;Leuciscus cephalus;FWS;not defined;Freshwater species
MPT;MPT;NA;Blackspotted smooth-hound;Mustelus punctulatus;DEF;not defined;Demersal fish
CVW;CVW;NA;Shortnose greeneye;Chlorophthalmus agassizi;DEF;not defined;Demersal fish
BGX;BGX;NA;Pomadasys spp;Pomadasys spp;DEF;not defined;Demersal fish
ENX;ENX;NA;Rock cook;Centrolabrus exoletus;DEF;not defined;Demersal fish
SCP;SCP;NA;Scup;Stenotomus chrysops;DEF;not defined;Demersal fish
DCA;DCA;NA;Birdbeak dogfish;Deania calcea;DEF;not defined;Demersal fish
RCW;RCW;NA;Red swamp crawfish;Procambarus clarkii;DEF;not defined;Demersal fish
BDY;BDY;NA;Bodianus spp;Bodianus spp;DEF;not defined;Demersal fish
MDZ;MDZ;NA;Muraena spp;Muraena spp;DEF;not defined;Demersal fish
OAW;OAW;NA;Phorcus atratus;Phorcus atratus;DEF;not defined;Demersal fish
CYP;CYP;NA;Longnose velvet dogfish;Centroscymnus crepidater;DEF;not defined;Demersal fish
SKB;SKB;NA;Sticklebacks;Gasterosteus spp;DEF;not defined;Demersal fish
DRI;DRI;NA;Indian driftfish;Ariomma indica;DEF;not defined;Demersal fish
MTZ;MTZ;NA;Starspotted smooth-hound;Mustelus manazo;DEF;not defined;Demersal fish
LPH;LPH;NA;Lepidion guentheri;Lepidion guentheri;DEF;not defined;Demersal fish
EOX;EOX;NA;Indian volute;Melo melo;GAS;not defined;Gastropods
PHO;PHO;NA;Risso's smooth-head;Alepocephalus rostratus;DEF;not defined;Demersal fish
RUB;RUB;NA;Blue runner;Caranx crysos;DEF;not defined;Demersal fish
MVA;MVA;NA;Shortspine African angler;Lophius vaillanti;DEF;not defined;Demersal fish
LHS;LHS;NA;Blackmouth angler;Lophiomus setigerus;DEF;not defined;Demersal fish
MUV;MUV;NA;Yellowstripe goatfish;Mulloidichthys flavolineatus;DEF;not defined;Demersal fish
NGS;NGS;NA;Malabar trevally;Carangoides malabaricus;DEF;not defined;Demersal fish
TDU;TDU;NA;Threetooth puffer;Triodon macropterus;DEF;not defined;Demersal fish
WHS;WHS;NA;Sillago-whitings;Sillaginidae;DEF;not defined;Demersal fish
UBA;UBA;NA;Blue fathead;Cubiceps caeruleus;DEF;not defined;Demersal fish
PER;PER;NA;Periwinkles nei;Littorina spp;GAS;not defined;Gastropods
BUA;BUA;NA;Atlantic bumper;Chloroscombrus chrysurus;DEF;not defined;Demersal fish
CXF;CXF;NA;Redfish;Centroberyx affinis;DEF;not defined;Demersal fish
UNKNOWN;UNKNOWN;NA;Unknown;Unknown;OTH;not defined;Other
IGU;IGU;NA;Dusky spinefoot;Siganus luridus;DEF;not defined;Demersal fish
BQB;BQB;NA;Hairy ark;Barbatia barbata;MOL;not defined;Molluscs
USX;USX;NA;Scarus spp;Scarus spp;DEF;not defined;Demersal fish
SPI;SPI;NA;Spinefeet(=Rabbitfishes) nei;Siganus spp;DEF;non-target demersal fish;Demersal fish
NUW;NUW;NA;Blennius spp;Blennius spp;DEF;not defined;Demersal fish
TOZ;TOZ;NA;Lesser weever;Trachinus vipera;DEF;not defined;Demersal fish
STF;STF;NA;Starfishes nei;Asteroidea;OTH;not defined;Other
NKR;NKR;NA;Norwegian krill;Meganyctiphanes norvegica;CRU;not defined;Crustaceans
SCU;SCU;NA;Sculpins;Myoxocephalus spp;DEF;non-target demersal fish;Demersal fish
ELZ;ELZ;NA;Eelpouts;Lycodes spp;DEF;not defined;Demersal fish
AFT;AFT;NA;Hooknose;Agonus cataphractus;DEF;not defined;Demersal fish
KYP;KYP;NA;Kyphosus sea chubs nei;Kyphosus spp;DEF;not defined;Demersal fish
SSA;SSA;NA;Atlantic silverside;Menidia menidia;DEF;not defined;Demersal fish
TDO;TDO;NA;African spadefish;Tripterodon orbis;DEF;not defined;Demersal fish
OHG;OHG;NA;False kinglip;Hoplobrotula gnathopus;DEF;not defined;Demersal fish
RPR;RPR;NA;Common sawfish;Pristis pristis;DEF;not defined;Demersal fish
UPT;UPT;NA;Freckled goatfish;Upeneus tragula;DEF;not defined;Demersal fish
CEX;CEX;NA;Cusk-eels nei;Genypterus spp;DEF;not defined;Demersal fish
FRN;FRN;NA;Norwegian topknot;Phrynorhombus norvegicus;DEF;not defined;Demersal fish
YRP;YRP;NA;Southern sennet;Sphyraena picudilla;DEF;not defined;Demersal fish
BTH;BTH;NA;Bigeye thresher;Alopias superciliosus;LPF;not defined;Large pelagic fish
LEG;LEG;NA;Guntea loach;Lepidocephalichthys guntea;DEF;not defined;Demersal fish
LWD;LWD;NA;Luciobarbus bocagei;Luciobarbus bocagei;DEF;not defined;Demersal fish
CUI;CUI;NA;Caspian shad;Alosa caspia;ANA;not defined;Anadromous species
RPW;RPW;NA;Thomas' rapa whelk;Rapana venosa;GAS;not defined;Gastropods
NFA;NFA;NA;Atlantic needlefish;Strongylura marina;DEF;not defined;Demersal fish
BTP;BTP;NA;Bellottia apoda;Bellottia apoda;DEF;not defined;Demersal fish
STH;STH;NA;Red starfish;Asterias rubens;OTH;not defined;Other
MXV;MXV;NA;Shorthorn sculpin;Myoxocephalus scorpius;DEF;non-target demersal fish;Demersal fish
MYG;MYG;NA;Hagfish;Myxine glutinosa;DEF;not defined;Demersal fish
OPH;OPH;NA;Cusk-eels, brotulas nei;Ophidiidae;DEF;not defined;Demersal fish
LVD;LVD;NA;Eelpouts nei;Zoarcidae;DEF;not defined;Demersal fish
FVE;FVE;NA;Vendace;Coregonus albula;ANA;not defined;Anadromous species
TSS;TSS;NA;Lionhead cichlid;Steatocranus casuarius;FWS;not defined;Freshwater species
CWG;CWG;NA;Prussian carp;Carassius gibelio;FWS;not defined;Freshwater species
GDY;GDY;NA;Japanese isinglass;Gelidium amansii;ALG;not defined;Algae
PPX;PPX;NA;Pelagic percomorphs nei;Perciformes;DEF;not defined;Demersal fish
TGQ;TGQ;NA;Fourhorn sculpin;Triglopsis quadricornis;DEF;non-target demersal fish;Demersal fish
FIE;FIE;NA;Common dace;Leuciscus leuciscus;FWS;not defined;Freshwater species
LUK;LUK;NA;African moonfish;Selene dorsalis;DEF;not defined;Demersal fish
RCT;RCT;NA;Straightnose rabbitfish;Rhinochimaera atlantica;DEF;non-target demersal fish;Demersal fish
AJQ;AJQ;NA;Common jellyfish;Aurelia aurita;OTH;not defined;Other
CAX;CAX;NA;Sea catfishes nei;Ariidae;DEF;not defined;Demersal fish
SMC;SMC;NA;Smoothmouth sea catfish;Arius heudelotii;DEF;not defined;Demersal fish
PPE;PPE;NA;Potamotrygon laticeps;Potamotrygon laticeps;DEF;not defined;Demersal fish
RUI;RUI;NA;Circular stingaree;Urolophus circularis;DEF;not defined;Demersal fish
DIG;DIG;NA;South American silver porgy;Diplodus argenteus;DEF;not defined;Demersal fish
DBB;DBB;NA;Pseudolabrus biserialis;Pseudolabrus biserialis;DEF;not defined;Demersal fish
GVE;GVE;NA;Ostrich egg sponge;Geodia vestigifera;OTH;not defined;Other
